site_code,stn_id,latitude,longitude,well_use
327527N1145999W001,16899,32.7527,-114.5999,Unknown
327527N1146344W001,16892,32.7527,-114.6344,Unknown
327527N1146344W002,16893,32.7527,-114.6344,Unknown
327527N1146516W001,16887,32.7527,-114.6516,Unknown
327527N1146602W001,16888,32.7527,-114.6602,Unknown
327527N1146602W002,32754,32.7527,-114.6602,Unknown
327527N1146602W003,39644,32.7527,-114.6602,Unknown
327527N1164070W001,18320,32.7527,-116.407,Unknown
327528N1146266W001,16896,32.7528,-114.6266,Unknown
327529N1145996W001,18274,32.7529,-114.5996,Unknown
327529N1146169W001,16897,32.7529,-114.6169,Unknown
327529N1146429W001,16891,32.7529,-114.6429,Unknown
327529N1146688W001,32751,32.7529,-114.6688,Unknown
327529N1159505W001,18344,32.7529,-115.9505,Unknown
327532N1145405W001,18282,32.7532,-114.5405,Unknown
327540N1147527W001,18237,32.754,-114.7527,Unknown
327545N1149963W001,20958,32.7545,-114.9963,Unknown
327546N1163268W001,18311,32.7546,-116.3268,Unknown
327547N1147531W001,18236,32.7547,-114.7531,Unknown
327551N1146772W001,16884,32.7551,-114.6772,Unknown
327552N1159536W001,18343,32.7552,-115.9536,Unknown
327552N1159892W001,39977,32.7552,-115.9892,Unknown
327557N1163529W001,18316,32.7557,-116.3529,Unknown
327559N1146865W001,32469,32.7559,-114.6865,Unknown
327564N1148037W001,16218,32.7564,-114.8037,Unknown
327568N1163354W001,18312,32.7568,-116.3354,Unknown
327569N1147658W001,18231,32.7569,-114.7658,Unknown
327569N1148368W001,33310,32.7569,-114.8368,Unknown
327570N1148065W001,16219,32.757,-114.8065,Unknown
327571N1147537W001,35654,32.7571,-114.7537,Unknown
327585N1160033W001,35813,32.7585,-116.0033,Unknown
327600N1146235W001,16894,32.76,-114.6235,Unknown
327600N1146264W001,16895,32.76,-114.6264,Unknown
327600N1146600W001,32753,32.76,-114.66,Unknown
327600N1146773W001,16883,32.76,-114.6773,Unknown
327601N1146168W001,35959,32.7601,-114.6168,Unknown
327601N1146168W002,18399,32.7601,-114.6168,Unknown
327601N1146343W001,16738,32.7601,-114.6343,Unknown
327601N1146517W001,16886,32.7601,-114.6517,Unknown
327602N1145996W001,18273,32.7602,-114.5996,Unknown
327602N1146430W001,32458,32.7602,-114.643,Unknown
327604N1145921W001,18272,32.7604,-114.5921,Unknown
327604N1146686W001,16745,32.7604,-114.6686,Unknown
327604N1146686W002,16746,32.7604,-114.6686,Unknown
327604N1163306W001,35807,32.7604,-116.3306,Unknown
327611N1147459W001,16214,32.7611,-114.7459,Unknown
327614N1148369W001,16063,32.7614,-114.8369,Unknown
327620N1149692W001,20824,32.762,-114.9692,Unknown
327622N1147929W001,16217,32.7622,-114.7929,Unknown
